# =============================================================================
# Suzume L2 Dictionary - Nouns (名詞)
# =============================================================================
#
# Format: surface<TAB>pos<TAB>conj_type
#
# Note: Simple kanji nouns are handled by the unknown word handler.
# Only add nouns that cause segmentation or POS issues.
#
# =============================================================================

# --- Formal nouns (形式名詞) - hiragana forms ---
# Note: もの/こと are in L1 with appropriate costs

# --- Ichidan verbs (一段動詞) ---

# --- Ichidan verbs (一段動詞) ---

# --- Other ---
振る舞い	NOUN
走り書き	NOUN
読み書き	NOUN
走り高跳び	NOUN
走り幅跳び	NOUN
掛け声	NOUN
足し算	NOUN
返り討ち	NOUN
替え玉	NOUN
上げ幅	NOUN
替え時	NOUN
回り道	NOUN
寄せ書き	NOUN
押し売り	NOUN
返し縫い	NOUN
出し惜しみ	NOUN
立て役者	NOUN
立ち聞き	NOUN
寄り道	NOUN
駆け足	NOUN
入り口	NOUN
混じり気	NOUN
入り浸り	NOUN
名付け親	NOUN
落とし穴	NOUN
落とし前	NOUN
抜き打ち	NOUN
当たり障り	NOUN
当て外れ	NOUN
当て字	NOUN
切れ端	NOUN
切れ味	NOUN
割り振り	NOUN
割り増し	NOUN
切り盛り	NOUN
受け売り	NOUN
受け答え	NOUN
置き場	NOUN
出来ばえ	NOUN
気兼ね	NOUN
病みかわ	NOUN
押し問答	NOUN
傍ら	NOUN
水掛け論	NOUN
独り	NOUN
独り言	NOUN
独り占め	NOUN
独り立ち	NOUN
独り歩き	NOUN
独り暮らし	NOUN
独り身	NOUN
結果	NOUN
一斉	NOUN
近く	NOUN
一番	NOUN
見かけ	NOUN
無免許	NOUN
最悪	NOUN
絶え間	NOUN
老いらく	NOUN
曰く	NOUN
曰く付き	NOUN
そのもの	NOUN
不安	NOUN
一人暮らし	NOUN
一本釣り	NOUN
顔合わせ	NOUN
一本締め	NOUN
一本立ち	NOUN
顔見せ	NOUN
顔つなぎ	NOUN
送り迎え	NOUN
取り決め	NOUN
うがい	NOUN
終わり	NOUN
月末	NOUN
週末	NOUN
期末	NOUN
年末	NOUN
当初	NOUN
組換え	NOUN
みず	NOUN
てがみ	NOUN
ひらがな	NOUN
にわ	NOUN
いりぐち	NOUN
はにわ	NOUN
あけぼの	NOUN
くだもの	NOUN
てつづき	NOUN
すな	NOUN
もんだい	NOUN
しごと	NOUN
ことば	NOUN
こころ	NOUN
ひとごと	NOUN
静けさ	NOUN
落ち葉	NOUN
向こう	NOUN
